X = 48.425   Z = 271.175 
X = 48.345   Z = 271.185 
X = 48.275   Z = 271.18  
X = 48.2     Z = 271.155 
X = 48.13    Z = 271.135 
X = 48.055   Z = 271.11  
X = 47.98    Z = 271.105 
X = 47.905   Z = 271.12  
X = 47.825   Z = 271.125 
X = 47.755   Z = 271.12  
X = 47.68    Z = 271.09  
X = 47.605   Z = 271.08  
X = 47.535   Z = 271.045 
X = 47.475   Z = 270.975 
X = 47.4     Z = 270.97  
X = 47.325   Z = 270.955 
X = 47.255   Z = 270.915 
X = 47.18    Z = 270.9   
X = 47.11    Z = 270.895 
X = 47.035   Z = 270.875 
X = 46.955   Z = 270.885 
X = 46.875   Z = 270.92  
X = 46.795   Z = 270.945 
X = 46.725   Z = 270.915 
X = 46.66    Z = 270.85  
X = 46.59    Z = 270.795 
X = 46.52    Z = 270.765 
X = 46.45    Z = 270.75  
X = 46.375   Z = 270.745 
X = 46.305   Z = 270.69  
X = 46.235   Z = 270.67  
X = 46.155   Z = 270.68  
X = 46.08    Z = 270.665 
X = 46.01    Z = 270.655 
X = 45.935   Z = 270.645 
X = 45.86    Z = 270.64  
X = 45.78    Z = 270.645 
X = 45.705   Z = 270.65  
X = 45.63    Z = 270.645 
X = 45.56    Z = 270.61  
X = 45.49    Z = 270.57  
X = 45.415   Z = 270.56  
X = 45.345   Z = 270.535 
X = 45.28    Z = 270.455 
X = 45.215   Z = 270.405 
X = 45.14    Z = 270.375 
X = 45.065   Z = 270.375 
X = 44.985   Z = 270.4   
X = 44.91    Z = 270.41  
X = 44.835   Z = 270.4   
X = 44.76    Z = 270.39  
X = 44.69    Z = 270.355 
X = 44.62    Z = 270.315 
X = 44.55    Z = 270.285 
X = 44.47    Z = 270.315 
X = 44.385   Z = 270.34  
X = 44.315   Z = 270.325 
X = 44.245   Z = 270.29  
X = 44.175   Z = 270.255 
X = 44.1     Z = 270.23  
X = 44.03    Z = 270.2   
X = 43.96    Z = 270.155 
X = 43.885   Z = 270.155 
X = 43.81    Z = 270.155 
X = 43.74    Z = 270.115 
X = 43.665   Z = 270.09  
X = 43.59    Z = 270.075 
X = 43.515   Z = 270.075 
X = 43.44    Z = 270.075 
X = 43.365   Z = 270.075 
X = 43.29    Z = 270.05  
X = 43.22    Z = 270.01  
X = 43.15    Z = 269.99  
X = 43.075   Z = 269.985 
X = 43       Z = 269.975 
X = 42.925   Z = 269.94  
X = 42.855   Z = 269.91  
X = 42.78    Z = 269.915 
X = 42.705   Z = 269.91  
X = 42.63    Z = 269.9   
X = 42.55    Z = 269.905 
X = 42.48    Z = 269.89  
X = 42.405   Z = 269.875 
X = 42.33    Z = 269.865 
X = 42.255   Z = 269.855 
X = 42.18    Z = 269.84  
X = 42.105   Z = 269.825 
X = 42.035   Z = 269.805 
X = 41.965   Z = 269.765 
X = 41.895   Z = 269.73  
X = 41.82    Z = 269.69  
X = 41.75    Z = 269.65  
X = 41.675   Z = 269.65  
X = 41.6     Z = 269.66  
X = 41.525   Z = 269.635 
X = 41.45    Z = 269.62  
X = 41.375   Z = 269.62  
X = 41.305   Z = 269.58  
X = 41.235   Z = 269.535 
X = 41.16    Z = 269.51  
X = 41.08    Z = 269.525 
X = 41       Z = 269.57  
X = 40.92    Z = 269.585 
X = 40.85    Z = 269.55  
X = 40.775   Z = 269.545 
X = 40.7     Z = 269.54  
X = 40.63    Z = 269.48  
X = 40.565   Z = 269.41  
X = 40.49    Z = 269.4   
X = 40.41    Z = 269.44  
X = 40.335   Z = 269.41  
X = 40.275   Z = 269.33  
X = 40.2     Z = 269.31  
X = 40.12    Z = 269.335 
X = 40.045   Z = 269.34  
X = 39.975   Z = 269.295 
X = 39.905   Z = 269.25  
X = 39.83    Z = 269.245 
X = 39.74    Z = 269.325 
X = 39.66    Z = 269.36  
X = 39.59    Z = 269.305 
X = 39.52    Z = 269.26  
X = 39.45    Z = 269.225 
X = 39.38    Z = 269.185 
X = 39.315   Z = 269.11  
X = 39.245   Z = 269.045 
X = 39.17    Z = 269.05  
X = 39.09    Z = 269.085 
X = 39.01    Z = 269.085 
