X = 49.22    Z = 233.18  
X = 49.145   Z = 233.19  
X = 49.07    Z = 233.2   
X = 49.005   Z = 233.245 
X = 48.925   Z = 233.245 
X = 48.845   Z = 233.23  
X = 48.77    Z = 233.245 
X = 48.695   Z = 233.245 
X = 48.615   Z = 233.23  
X = 48.54    Z = 233.225 
X = 48.465   Z = 233.255 
X = 48.395   Z = 233.295 
X = 48.32    Z = 233.285 
X = 48.24    Z = 233.275 
X = 48.165   Z = 233.295 
X = 48.085   Z = 233.29  
X = 48.01    Z = 233.285 
X = 47.935   Z = 233.305 
X = 47.865   Z = 233.335 
X = 47.79    Z = 233.35  
X = 47.715   Z = 233.37  
X = 47.64    Z = 233.38  
X = 47.56    Z = 233.36  
X = 47.48    Z = 233.335 
X = 47.405   Z = 233.335 
X = 47.33    Z = 233.355 
X = 47.255   Z = 233.36  
X = 47.17    Z = 233.32  
X = 47.095   Z = 233.335 
X = 47.03    Z = 233.39  
X = 46.95    Z = 233.385 
X = 46.875   Z = 233.395 
X = 46.805   Z = 233.43  
X = 46.73    Z = 233.43  
X = 46.645   Z = 233.4   
X = 46.56    Z = 233.36  
X = 46.48    Z = 233.335 
X = 46.405   Z = 233.345 
X = 46.325   Z = 233.32  
X = 46.235   Z = 233.25  
X = 46.16    Z = 233.275 
X = 46.105   Z = 233.395 
X = 46.045   Z = 233.48  
X = 45.97    Z = 233.49  
X = 45.88    Z = 233.425 
X = 45.79    Z = 233.35  
X = 45.705   Z = 233.325 
X = 45.63    Z = 233.32  
X = 45.555   Z = 233.335 
X = 45.485   Z = 233.375 
X = 45.41    Z = 233.375 
X = 45.335   Z = 233.395 
X = 45.265   Z = 233.43  
X = 45.185   Z = 233.42  
X = 45.1     Z = 233.38  
X = 45.025   Z = 233.38  
X = 44.95    Z = 233.395 
X = 44.875   Z = 233.405 
X = 44.8     Z = 233.425 
X = 44.725   Z = 233.435 
X = 44.64    Z = 233.4   
X = 44.56    Z = 233.37  
X = 44.485   Z = 233.365 
X = 44.405   Z = 233.355 
X = 44.33    Z = 233.385 
X = 44.26    Z = 233.405 
X = 44.18    Z = 233.405 
X = 44.105   Z = 233.405 
X = 44.025   Z = 233.38  
X = 43.95    Z = 233.395 
X = 43.88    Z = 233.44  
X = 43.805   Z = 233.47  
X = 43.73    Z = 233.475 
X = 43.655   Z = 233.48  
X = 43.58    Z = 233.505 
X = 43.51    Z = 233.525 
X = 43.43    Z = 233.51  
X = 43.35    Z = 233.5   
X = 43.275   Z = 233.515 
X = 43.195   Z = 233.495 
X = 43.115   Z = 233.475 
X = 43.035   Z = 233.47  
X = 42.96    Z = 233.46  
X = 42.875   Z = 233.43  
X = 42.79    Z = 233.38  
X = 42.71    Z = 233.38  
X = 42.64    Z = 233.42  
X = 42.565   Z = 233.425 
X = 42.485   Z = 233.41  
X = 42.41    Z = 233.415 
X = 42.335   Z = 233.45  
X = 42.265   Z = 233.49  
X = 42.19    Z = 233.49  
X = 42.115   Z = 233.49  
X = 42.04    Z = 233.505 
X = 41.96    Z = 233.505 
X = 41.88    Z = 233.485 
X = 41.805   Z = 233.495 
