X = 37.075   Z = 166.54  
X = 37.025   Z = 166.575 
X = 36.975   Z = 166.6   
X = 36.915   Z = 166.595 
X = 36.855   Z = 166.555 
X = 36.79    Z = 166.53  
X = 36.74    Z = 166.555 
X = 36.685   Z = 166.565 
X = 36.63    Z = 166.575 
X = 36.58    Z = 166.625 
X = 36.525   Z = 166.65  
X = 36.47    Z = 166.645 
X = 36.41    Z = 166.625 
X = 36.355   Z = 166.64  
X = 36.3     Z = 166.67  
X = 36.24    Z = 166.64  
X = 36.175   Z = 166.605 
X = 36.12    Z = 166.62  
X = 36.07    Z = 166.65  
X = 36.02    Z = 166.685 
X = 35.975   Z = 166.76  
X = 35.93    Z = 166.82  
X = 35.87    Z = 166.815 
X = 35.81    Z = 166.78  
X = 35.745   Z = 166.755 
X = 35.685   Z = 166.745 
X = 35.63    Z = 166.75  
X = 35.575   Z = 166.74  
X = 35.52    Z = 166.77  
X = 35.47    Z = 166.81  
X = 35.41    Z = 166.8   
X = 35.35    Z = 166.79  
X = 35.295   Z = 166.785 
X = 35.24    Z = 166.79  
X = 35.185   Z = 166.81  
X = 35.135   Z = 166.845 
X = 35.08    Z = 166.87  
X = 35.02    Z = 166.86  
X = 34.96    Z = 166.835 
X = 34.905   Z = 166.83  
X = 34.845   Z = 166.835 
X = 34.79    Z = 166.85  
X = 34.735   Z = 166.865 
X = 34.68    Z = 166.87  
X = 34.625   Z = 166.865 
X = 34.565   Z = 166.87  
X = 34.505   Z = 166.86  
X = 34.455   Z = 166.875 
X = 34.405   Z = 166.915 
X = 34.355   Z = 166.955 
X = 34.3     Z = 167     
X = 34.245   Z = 167.015 
X = 34.19    Z = 167.025 
X = 34.135   Z = 167.04  
X = 34.08    Z = 167.055 
X = 34.025   Z = 167.06  
X = 33.97    Z = 167.06  
X = 33.91    Z = 167.05  
X = 33.855   Z = 167.055 
X = 33.805   Z = 167.1   
X = 33.745   Z = 167.11  
X = 33.695   Z = 167.125 
X = 33.645   Z = 167.185 
X = 33.595   Z = 167.23  
X = 33.54    Z = 167.24  
X = 33.485   Z = 167.255 
X = 33.43    Z = 167.285 
X = 33.375   Z = 167.3   
X = 33.325   Z = 167.33  
X = 33.275   Z = 167.365 
X = 33.22    Z = 167.39  
X = 33.165   Z = 167.41  
X = 33.11    Z = 167.42  
X = 33.045   Z = 167.38  
X = 32.975   Z = 167.3   
X = 32.915   Z = 167.275 
X = 32.865   Z = 167.335 
X = 32.82    Z = 167.39  
X = 32.76    Z = 167.365 
X = 32.695   Z = 167.315 
X = 32.63    Z = 167.28  
X = 32.56    Z = 167.215 
X = 32.505   Z = 167.22  
X = 32.455   Z = 167.25  
X = 32.4     Z = 167.27  
X = 32.335   Z = 167.245 
X = 32.28    Z = 167.255 
X = 32.225   Z = 167.275 
X = 32.17    Z = 167.295 
X = 32.12    Z = 167.325 
X = 32.06    Z = 167.33  
X = 32       Z = 167.31  
X = 31.945   Z = 167.325 
X = 31.89    Z = 167.355 
X = 31.835   Z = 167.36  
X = 31.78    Z = 167.37  
X = 31.725   Z = 167.41  
X = 31.67    Z = 167.425 
X = 31.615   Z = 167.42  
X = 31.555   Z = 167.405 
X = 31.49    Z = 167.36  
X = 31.425   Z = 167.325 
X = 33.25    Z = 179.755 
X = 33.18    Z = 179.665 
X = 31.25    Z = 167.285 
X = 31.19    Z = 167.28  
X = 31.135   Z = 167.325 
X = 31.085   Z = 167.365 
X = 31.03    Z = 167.36  
X = 30.97    Z = 167.375 
X = 30.92    Z = 167.42  
X = 30.865   Z = 167.445 
X = 30.81    Z = 167.455 
X = 30.755   Z = 167.48  
X = 30.7     Z = 167.48  
X = 30.64    Z = 167.485 
X = 30.585   Z = 167.49  
X = 30.52    Z = 167.46  
X = 30.465   Z = 167.465 
X = 30.415   Z = 167.51  
X = 30.36    Z = 167.545 
X = 30.305   Z = 167.545 
X = 30.25    Z = 167.59  
X = 30.21    Z = 167.705 
X = 30.16    Z = 167.75  
X = 30.09    Z = 167.69  
X = 30.03    Z = 167.645 
X = 29.98    Z = 167.695 
X = 29.93    Z = 167.75  
X = 29.875   Z = 167.78  
X = 29.82    Z = 167.795 
X = 29.76    Z = 167.79  
X = 29.705   Z = 167.815 
X = 29.655   Z = 167.855 
X = 29.6     Z = 167.905 
X = 29.55    Z = 167.94  
X = 29.495   Z = 167.965 
X = 29.44    Z = 167.995 
X = 29.385   Z = 168     
X = 29.325   Z = 167.995 
X = 29.275   Z = 168.075 
X = 29.225   Z = 168.125 
X = 29.175   Z = 168.18  
X = 29.12    Z = 168.21  
X = 29.06    Z = 168.175 
X = 29.01    Z = 168.235 
X = 28.96    Z = 168.285 
X = 28.905   Z = 168.31  
X = 28.85    Z = 168.345 
X = 28.79    Z = 168.335 
X = 28.73    Z = 168.3   
X = 28.665   Z = 168.27  
X = 28.61    Z = 168.28  
X = 28.55    Z = 168.26  
X = 28.485   Z = 168.225 
X = 28.425   Z = 168.2   
X = 28.365   Z = 168.18  
X = 28.31    Z = 168.205 
X = 28.255   Z = 168.235 
X = 28.195   Z = 168.205 
X = 28.13    Z = 168.15  
X = 28.06    Z = 168.08  
X = 27.99    Z = 167.975 
X = 27.925   Z = 167.9   
X = 27.86    Z = 167.85  
X = 27.8     Z = 167.84  
X = 27.74    Z = 167.845 
X = 27.685   Z = 167.875 
X = 27.63    Z = 167.88  
X = 27.57    Z = 167.895 
X = 27.52    Z = 167.93  
X = 27.47    Z = 168     
X = 27.42    Z = 168.09  
X = 27.37    Z = 168.15  
X = 27.31    Z = 168.145 
X = 27.245   Z = 168.09  
X = 27.185   Z = 168.055 
X = 27.13    Z = 168.085 
X = 27.08    Z = 168.14  
X = 27.02    Z = 168.155 
X = 26.96    Z = 168.13  
X = 26.9     Z = 168.1   
X = 26.835   Z = 168.06  
X = 26.785   Z = 168.11  
X = 26.735   Z = 168.205 
X = 26.685   Z = 168.28  
X = 26.63    Z = 168.295 
X = 26.575   Z = 168.315 
X = 26.52    Z = 168.35  
X = 26.465   Z = 168.37  
X = 26.405   Z = 168.38  
X = 26.345   Z = 168.365 
X = 26.285   Z = 168.34  
X = 26.23    Z = 168.345 
X = 26.17    Z = 168.345 
X = 26.11    Z = 168.35  
X = 26.055   Z = 168.355 
X = 25.995   Z = 168.365 
X = 25.94    Z = 168.39  
X = 25.885   Z = 168.39  
X = 25.82    Z = 168.36  
X = 25.76    Z = 168.35  
X = 25.705   Z = 168.345 
X = 25.64    Z = 168.315 
X = 25.58    Z = 168.285 
X = 25.52    Z = 168.275 
X = 25.46    Z = 168.265 
X = 25.4     Z = 168.265 
X = 25.35    Z = 168.335 
X = 25.3     Z = 168.415 
X = 25.25    Z = 168.475 
X = 25.2     Z = 168.53  
X = 25.14    Z = 168.54  
X = 25.08    Z = 168.495 
