X = 37.055   Z = 166.405 
X = 36.995   Z = 166.4   
X = 36.935   Z = 166.375 
X = 36.87    Z = 166.33  
X = 36.815   Z = 166.33  
X = 36.76    Z = 166.36  
X = 36.705   Z = 166.36  
X = 36.645   Z = 166.35  
X = 36.59    Z = 166.35  
X = 36.535   Z = 166.375 
X = 36.49    Z = 166.43  
X = 36.435   Z = 166.44  
X = 36.375   Z = 166.425 
X = 36.315   Z = 166.425 
X = 36.26    Z = 166.42  
X = 36.2     Z = 166.41  
X = 36.145   Z = 166.435 
X = 36.095   Z = 166.47  
X = 36.04    Z = 166.48  
X = 35.985   Z = 166.48  
X = 35.93    Z = 166.505 
X = 35.875   Z = 166.52  
X = 35.82    Z = 166.525 
X = 35.77    Z = 166.55  
X = 35.715   Z = 166.585 
X = 35.66    Z = 166.595 
X = 35.605   Z = 166.59  
X = 35.545   Z = 166.59  
X = 35.49    Z = 166.6   
X = 35.44    Z = 166.635 
X = 35.385   Z = 166.645 
X = 35.325   Z = 166.63  
X = 35.265   Z = 166.62  
X = 35.21    Z = 166.625 
X = 35.16    Z = 166.65  
X = 35.105   Z = 166.68  
X = 35.055   Z = 166.71  
X = 34.995   Z = 166.715 
X = 34.935   Z = 166.68  
X = 34.88    Z = 166.68  
X = 34.825   Z = 166.71  
X = 34.77    Z = 166.71  
X = 34.71    Z = 166.695 
X = 34.655   Z = 166.705 
X = 34.6     Z = 166.735 
X = 34.54    Z = 166.72  
X = 34.485   Z = 166.705 
X = 34.43    Z = 166.73  
X = 34.375   Z = 166.735 
X = 34.315   Z = 166.715 
X = 34.255   Z = 166.705 
X = 34.2     Z = 166.715 
X = 34.145   Z = 166.725 
X = 34.09    Z = 166.755 
X = 34.04    Z = 166.8   
X = 33.985   Z = 166.815 
X = 33.925   Z = 166.795 
X = 33.865   Z = 166.78  
X = 33.81    Z = 166.79  
X = 33.755   Z = 166.805 
X = 33.7     Z = 166.82  
X = 33.65    Z = 166.865 
X = 33.6     Z = 166.895 
X = 33.545   Z = 166.895 
X = 33.485   Z = 166.895 
X = 33.43    Z = 166.9   
X = 33.365   Z = 166.875 
X = 33.31    Z = 166.865 
X = 33.255   Z = 166.89  
X = 33.2     Z = 166.895 
X = 33.145   Z = 166.92  
X = 33.09    Z = 166.93  
X = 33.03    Z = 166.92  
X = 32.975   Z = 166.935 
X = 32.935   Z = 167.015 
X = 32.89    Z = 167.115 
X = 32.845   Z = 167.2   
X = 32.8     Z = 167.255 
X = 32.745   Z = 167.265 
X = 32.685   Z = 167.26  
X = 32.625   Z = 167.245 
X = 32.565   Z = 167.24  
X = 32.51    Z = 167.245 
X = 32.45    Z = 167.235 
X = 32.395   Z = 167.235 
X = 32.335   Z = 167.25  
X = 32.285   Z = 167.28  
X = 32.225   Z = 167.275 
X = 32.17    Z = 167.275 
X = 32.115   Z = 167.29  
X = 32.045   Z = 167.24  
X = 31.995   Z = 167.27  
X = 31.935   Z = 167.25  
X = 31.865   Z = 167.19  
X = 31.81    Z = 167.195 
X = 31.765   Z = 167.28  
X = 31.71    Z = 167.3   
X = 31.65    Z = 167.28  
X = 31.595   Z = 167.3   
X = 31.545   Z = 167.335 
X = 31.47    Z = 167.23  
X = 31.41    Z = 167.205 
X = 31.35    Z = 167.215 
X = 31.3     Z = 167.25  
X = 31.245   Z = 167.26  
X = 31.185   Z = 167.25  
X = 31.125   Z = 167.245 
X = 31.07    Z = 167.265 
